FID,the_geom,id_healthF,nmHsp_mya,nmHsp_eng,lvlHsp_mya,lvlHsp_eng,bedClass,SR_PCODE,SR_mya,SR,DT_PCODE,DT,TS_PCODE,TS_mya,TS_en,SELF_ADMIN,comment,accuraConf
health_facilities_myanmar2020_v20241016.1,POINT (97.39555800000005 25.394893000000025),hsp_0001,မြစ်ကြီးနားပြည်သူ့ဆေးရုံကြီး,Myitkyina General Hospital,မြို့နယ်,General,500,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001001,မြစ်ကြီးနား,Myitkyina,,,high confidence
health_facilities_myanmar2020_v20241016.2,POINT (97.03517200000005 24.77968000000004),hsp_0002,ဆင်ဘိုတိုက်နယ်ဆေးရုံ,Sinbo Station Hospital,တိုက်နယ်,Station,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001001,မြစ်ကြီးနား,Myitkyina,,,high confidence
health_facilities_myanmar2020_v20241016.3,POINT (97.31274300000007 25.078599000000054),hsp_0003,တာလောကြီးတိုက်နယ်ဆေးရုံ,Ta Law Gyi Station Hospital,တိုက်နယ်,Station,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001001,မြစ်ကြီးနား,Myitkyina,,,high confidence
health_facilities_myanmar2020_v20241016.4,POINT (97.50663600000007 25.631998000000067),hsp_0004,အောင်မြင်သာစံပြတိုက်နယ်ဆေးရုံ,Aung Myin Thar San Station Hospital,တိုက်နယ်,Station,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001001,မြစ်ကြီးနား,Myitkyina,,,high confidence
health_facilities_myanmar2020_v20241016.5,POINT (97.43428200000005 25.347575000000063),hsp_0005,ဝိုင်းမော်မြို့နယ်ဆေးရုံ,Waingmaw Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001002,ဝိုင်းမော်,Waingmaw,,,high confidence
health_facilities_myanmar2020_v20241016.6,POINT (97.56172700000008 24.979503000000022),hsp_0006,ကန်တော်ယန်တိုက်နယ်ဆေးရုံ,Kan Taw Yang Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001002,ဝိုင်းမော်,Waingmaw,,,probably accurate
health_facilities_myanmar2020_v20241016.7,POINT (97.74412000000007 25.500470000000064),hsp_0007,မန်ဝိန်းတိုက်နယ်ဆေးရုံ,Man-Ming Station Hospital,တိုက်နယ်,Station,NA,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001002,ဝိုင်းမော်,Waingmaw,,,bestGuess
health_facilities_myanmar2020_v20241016.8,POINT (97.90411600000004 25.397357000000056),hsp_0008,ဆဒုံးတိုက်နယ်ဆေးရုံ,Sa Tone Station Hospital,တိုက်နယ်,Station,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001002,ဝိုင်းမော်,Waingmaw,,,high confidence
health_facilities_myanmar2020_v20241016.9,POINT (98.11673300000007 25.40972800000003),hsp_0009,ကန်ပိုက်တီတိုက်နယ်ဆေးရုံ,Kan pail Ti Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001002,ဝိုင်းမော်,Waingmaw,,,high confidence
health_facilities_myanmar2020_v20241016.10,POINT (97.72691600000007 25.830624000000057),hsp_0010,အန်ဂျန်းယန်မြို့နယ်ဆေးရုံ,Injangyang Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001003,အင်ဂျန်းယန်,Injangyang,,,high confidence
health_facilities_myanmar2020_v20241016.11,POINT (96.71960600000006 26.361366000000032),hsp_0011,တနိုင်းမြို့နယ်ဆေးရုံ,Tanai Township Hospital,မြို့နယ်,Township,50,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001004,တနိုင်း,Tanai,,,high confidence
health_facilities_myanmar2020_v20241016.12,POINT (96.20411400000006 26.70047500000004),hsp_0012,ရှင်ဗွေယန်တိုက်နယ်ဆေးရုံ,Shin Bway Yan Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001004,တနိုင်း,Tanai,,,high confidence
health_facilities_myanmar2020_v20241016.13,POINT (98.12775200000004 25.88708500000007),hsp_0013,ချီဖွေမြို့နယ်ဆေးရုံ,Chipwi Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001005,ချီဖွေ,Chipwi,,,high confidence
health_facilities_myanmar2020_v20241016.14,POINT (98.46030300000007 26.03613400000006),hsp_0014,နုဇုန်ဘောင်တိုက်နယ်ဆေးရုံ,Na Zun Baw Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001005,ချီဖွေ,Chipwi,,,probably accurate
health_facilities_myanmar2020_v20241016.15,POINT (98.37999000000008 25.604551000000072),hsp_0015,ပန်ဝါတိုက်နယ်ဆေးရုံ,Pang War Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001005,ချီဖွေ,Chipwi,,,high confidence
health_facilities_myanmar2020_v20241016.16,POINT (98.26949300000007 26.15120900000005),hsp_0016,ဆော့လော်မြို့နယ်ဆေးရုံ,Tsawlaw Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001006,ဆော့လော်,Tsawlaw,,,high confidence
health_facilities_myanmar2020_v20241016.17,POINT (96.36543500000005 24.774662000000035),hsp_0017,မိုးညှင်းပြည်သူ့ဆေးရုံ,Mohnyin General Hospital,မြို့နယ်,General,100,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.18,POINT (96.46146000000005 25.291353000000072),hsp_0018,ချောင်းဝတိုက်နယ်ဆေးရုံ,Chaung Wa Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.19,POINT (96.52074200000004 24.994642000000056),hsp_0019,ဟိုပင်ဆေးရုံ,Hopin Station Hospital,တိုက်နယ်,Station,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.20,POINT (96.28580200000005 25.09799300000003),hsp_0020,လုံးတုံတိုက်နယ်ဆေးရုံ,Lone Ton Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.21,POINT (96.43782600000009 24.87834300000003),hsp_0021,နမ္မားတိုက်နယ်ဆေးရုံ,Nan Mar Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.22,POINT (96.36627000000004 24.995895000000075),hsp_0022,နန့်မွန်းတိုက်နယ်ဆေးရုံ,Nam Mun Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.23,POINT (96.30595700000003 25.180521000000056),hsp_0023,လွဲမွန်တိုက်နယ်ဆေးရုံ,Lwe Mun Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.24,POINT (96.93226000000004 25.301830000000052),hsp_0024,မိုးကောင်းမြို့နယ်ဆေးရုံ,Mogaung Township Hospital,မြို့နယ်,Township,50,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001008,မိုးကောင်း,Mogaung,,,probably accurate
